iter	RMSE
0	0.5189967172
50	0.2322779643
100	0.1746515455
150	0.1397517389
200	0.1178000081
250	0.09936806221
300	0.08421274073
350	0.07079557954
400	0.06054010748
450	0.05046464253
499	0.04189542306
